subset,pmcid,pmid,doi,pubdate,section,paragraph_number,software_mention,version,curation_label,mapped_to_software,text
comm,4331094,25689825.0,10.1371/journal.pone.0117862,2015,Phylogenetic analyses,11,SequenceMatrix,,software,SequenceMatrix,Alignments of individual genes were concatenated using SequenceMatrix v1.7.8 [34]
comm,3496728,23152747.0,10.1371/journal.pone.0045715,2012,Phylogenetic Analysis for the Clock Gene Proteins,33,SequenceMatrix,,software,SequenceMatrix,Parsimony trees were constructed from the alignments using TNT phylogenetic software after exporting the data from SequenceMatrix
comm,6884534,31815200.0,10.1038/s42003-019-0689-7,2019,Phylogenomic analyses,16,Sequence Matrix,1.8,not_curated,SequenceMatrix,A final concatenated supermatrix was produced with Sequence Matrix 1.8
comm,7804350,33489009.0,10.1016/j.csbj.2020.12.041,2020,Phylogenetic analysis,7,SequenceMatrix,,software,SequenceMatrix,"Individual mitochondrial genes were first aligned using the MAFFT v7.037 [46], and then concatenated into a combined mitochondrial gene set using SequenceMatrix v1.7.8 [47]"
comm,5817127,29468015.0,10.1002/ece3.3815,2018,Phylogenetic reconstruction of Enchenopa binotata,13,Sequence Matrix,,not_curated,SequenceMatrix,"We therefore combined CO1 (875 bp) and EF1α (870 bp) using a supermatrix approach in Sequence Matrix v1.8 (Vaidya, Lohman, & Meier, 2011)"
comm,7029067,32076546.0,10.1002/ece3.6008,2020,"Phylogenetic analysis, genetic distance, nucleotide mutation rate, and estimation of divergence time",6,Sequence Matrix,,not_curated,SequenceMatrix,Each gene was aligned separately and manually concatenated these sequences using Sequence Matrix v
comm,6509377,31110681.0,10.1002/ece3.5120,2019,"DNA extraction, sequencing, and alignment",13,SequenceMatrix,,software,SequenceMatrix,Genes were concatenated with SequenceMatrix v
comm,6010815,29938065.0,10.1002/ece3.4067,2018,Base chromosome number and phylogenetic analysis,12,Sequence Matrix,,not_curated,SequenceMatrix,"Sequence data matrices were concatenated using Sequence Matrix version 1.7 (Vaidya, Lohman, & Meier, 2011)"
comm,5415509,28479990.0,10.1002/ece3.2853,2017,Alignment and dataset assembly,28,Sequence Matrix,,not_curated,SequenceMatrix,"Individual genes and morphological matrices were concatenated using Sequence Matrix (Vaidya, Lohman, & Meier, 2011)"
comm,6745856,31534674.0,10.1002/ece3.5474,2019,Phylogenetic analyses,12,SequenceMatrix,,software,SequenceMatrix,All four loci were concatenated using SequenceMatrix v
comm,6787814,31624586.0,10.1002/ece3.5606,2019,Phylogenetic analysis,7,SequenceMatrix,,software,SequenceMatrix,"The dataset of all PCGs was concatenated (10,647 bp) using SequenceMatrix v1.7.84537 (Vaidya, Lohman, & Meier, 2010)"
comm,7593144,33144951.0,10.1002/ece3.6746,2020,Phylogenetic reconstruction,13,SequenceMatrix,1.8,software,SequenceMatrix,"Genes were assembled using the program SequenceMatrix 1.8 (Vaidya, Lohman, & Meier, 2011)"
comm,6787831,31624561.0,10.1002/ece3.5568,2019,Phylogeny of Ficus,14,SequenceMatrix,,software,SequenceMatrix,"A Bayesian tree was created, based on the linked sequences, through a combination of SequenceMatrix‐Windows‐1.8 (Vaidya, Lohman, & Meier, 2011) and BEAST.v2.4.5.Windows (Bouckaert et al., 2014)"
comm,7391345,32760560.0,10.1002/ece3.6497,2020,Primer design and sequence alignment,7,SequenceMatrix,,software,SequenceMatrix,"Afterward, all gene fragments were combined using SequenceMatrix (Vaidya, Lohman, & Meier, 2011)."
comm,6392390,30847077.0,10.1002/ece3.4875,2019,Sequence analysis,16,SequenceMatrix,,software,SequenceMatrix,"The aligned sequences of rbcL and matK were combined to obtain two‐loci DNA barcodes using SequenceMatrix software (Vaidya, Lohman, & Meier, 2011)."
comm,6662396,31380051.0,10.1002/ece3.5301,2019,Phylogenetic analysis,10,Sequence Matrix,,not_curated,SequenceMatrix,"A concatenated sequence consisted of four mtDNA genes (Cox1 + Cox3 + CYTB + D‐loop) and one nuclear gene (vWF) fragment, and each marker was separately aligned and these sequences were then manually concatenated using the program Sequence Matrix v1.7.8 (Vaidya, Lohman, & Meier, 2011)"
comm,6231483,30459838.0,10.1111/eva.12696,2018,Mitochondrial gene amplification and genetic statistic estimation,9,SequenceMatrix,,software,SequenceMatrix,"In addition, the three mitochondrial genes of each individual were concatenated into a single sequence using SequenceMatrix v.1.7.8 (Vaidya, Lohman, & Meier, 2011), and the concatenated sequences were then used to estimate pairwise F ST between local populations using Arlequin, with 10,000 permutations applied to test for significance"
comm,7980273,33767745.0,10.1111/eva.13149,2020,Tree construction,25,SequenceMatrix,,software,SequenceMatrix,"We concatenated the resultant files in SequenceMatrix (Vaidya et al., 2011) and exported the concatenated file in phylip format"
comm,7935548,33680984.0,10.3389/fcimb.2020.618747,2021,Phylogenetic Analyses,8,Sequence Matrix,1.8,not_curated,SequenceMatrix,Sequence Matrix 1.8 software was used for sequence concatenation
comm,7917209,33659021.0,10.3389/fgene.2021.534871,2021,Phylogenetic Analysis,8,SequenceMatrix,,software,SequenceMatrix,"We first aligned single mitochondrial genes using MAFFT v7.037 (Katoh et al., 2019) and concatenated these alignments to a gene set using the SequenceMatrix v1.7.8 (Vaidya et al., 2011)"
comm,8261143,34249107.0,10.3389/fgene.2021.693541,2021,Phylogenetic Analysis,13,SequenceMatrix,,software,SequenceMatrix,"The alignments of the 15 genes were concatenated into a single data matrix using SequenceMatrix v.1.8 (Vaidya et al., 2011)"
comm,8250867,34220831.0,10.3389/fimmu.2021.683026,2021,Phylogenetically Independent Contrast and Microglia Morphometric Features,18,SequenceMatrix,1.8,software,SequenceMatrix,Sequences were aligned using ClustalW (56) implemented in BioEdit 7.2.5 (57) and concatenated using the program SequenceMatrix 1.8 (58)
comm,7658094,33193172.0,10.3389/fmicb.2020.572596,2020,Phylogenetic Analyses,6,SequenceMatrix,,software,SequenceMatrix,"The concatenated ITS and LSU, and ITS, LSU, MCM7, RPB2, and EF1A sequences were assembled by SequenceMatrix v.1.7.8 (Vaidya et al., 2011)"
comm,8134742,34025609.0,10.3389/fmicb.2021.654380,2021,"Sequence Alignment, and Phylogenetic Analysis",7,SequenceMatrix,,software,SequenceMatrix,"The cured sequence alignments were then concatenated with the SequenceMatrix (Vaidya et al., 2011)"
comm,7644776,33193177.0,10.3389/fmicb.2020.573064,2020,Phylogenetic Analysis,9,SequenceMatrix,,software,SequenceMatrix,"MAFFT v7.037 software (Abascal et al., 2010) was first used to align the single mitochondrial gene sequence, and then SequenceMatrix v1.7.8 software (Lanfear R"
comm,6974680,32010067.0,10.3389/fmicb.2019.02918,2020,Phylogenetic Analysis,33,Sequence Matrix,1.8,not_curated,SequenceMatrix,"Sequence concatenation was performed with Sequence Matrix 1.8 software (Vaidya et al., 2011), further corrected in Geneious Prime (Kearse et al., 2012), and plotted in MEGA X"
comm,7432440,32849488.0,10.3389/fmicb.2020.01970,2020,Phylogenetic Analysis,6,SequenceMatrix,,software,SequenceMatrix,"We first aligned individual mitochondrial genes using the MAFFT v7.037 software (Katoh et al., 2017), and then concatenated the aligned mitochondrial genes into a combined mitochondrial gene set using the SequenceMatrix v1.7.8 (Vaidya et al., 2011)"
comm,7873960,33584571.0,10.3389/fmicb.2020.608991,2021,Sequence Alignment and Phylogenetic Analyses,9,Sequence Matrix,,not_curated,SequenceMatrix,"7.0.9.1 (Hall, 1999) and were concatenated in Sequence Matrix v"
comm,8024981,33841366.0,10.3389/fmicb.2021.643731,2021,Fusarium Phylogenetic Analysis,22,SequenceMatrix,,software,SequenceMatrix,"The three loci were concatenated using SequenceMatrix (Vaidya et al., 2011) and partitioned by gene, codon position and EF1α introns for the ML search, performed as above for individual gene trees–see https://github.com/Rowena-h/MusaEndophytes for the raw alignment and tree files"
comm,6338057,30687241.0,10.3389/fmicb.2018.03159,2019,"Binning, Annotation, and Phylogenetic Affiliations Using Marker Genes",23,Java Sequence Matrix,,not_curated,not_disambiguated,The aligned sequences of 30 of the 31 marker genes (smpB was omitted due to low coverage) were concatenated using “Java Sequence Matrix”
comm,7228111,32457712.0,10.3389/fmicb.2020.00785,2020,Phylogenetic Analysis,14,SequenceMatrix,,software,SequenceMatrix,"The nucleotide sequences of the 13 core genes were individually aligned using MAFFT (v.7.429) with an automatic algorithm (parameter: mafft – auto) (Katoh and Standley, 2013), and multiple sequence alignments were concatenated in SequenceMatrix (v.1.8) (Vaidya et al., 2011)."
comm,7228111,32457712.0,10.3389/fmicb.2020.00785,2020,Analysis of Mitochondrial Introns,17,SequenceMatrix,,software,SequenceMatrix,"gamsii KUC1747) were individually aligned using MAFFT (v.7.429) with an automatic algorithm (parameter: mafft – auto) (Katoh and Standley, 2013), and multiple sequence alignments were concatenated in SequenceMatrix (v.1.8) (Vaidya et al., 2011)"
comm,7642397,33193147.0,10.3389/fmicb.2020.561381,2020,Comparison of Combination Identification,9,SEQUENCEMATRIX,1.7.8,not_curated,not_disambiguated,"A multiple alignment of the combined partial sequences was assembled with MEGA 6 (Tamura et al., 2013) and SEQUENCEMATRIX 1.7.8 (Vaidya et al., 2011)"
comm,7265640,32528431.0,10.3389/fmicb.2020.00933,2020,"Paralulworthia gigaspora and Paralulworthia posidoniae: Growth Condition, Morphological, and Molecular Study",11,SequenceMatrix,,software,SequenceMatrix,"No incongruence was observed among single-loci phylogenetic trees and alignments were concatenated into a single data matrix with SequenceMatrix (Vaidya et al., 2011)"
comm,7756005,33362740.0,10.3389/fmicb.2020.591453,2020,Comparative Mitogenome and Phylogenetic Analyses,5,SequenceMatrix,,software,SequenceMatrix,"Then the aligned mitochondrial genes were concatenated into a combined mitochondrial gene set using SequenceMatrix v1.7.8 (Vaidya et al., 2011)"
comm,7782312,33414778.0,10.3389/fmicb.2020.614910,2020,Sequence Alignment and Phylogenetic Analyses,6,Sequence Matrix,,not_curated,SequenceMatrix,Individual alignments were concatenated using Sequence Matrix v.1.7.8 for multilocus phylogenetic analyses
comm,6363710,30761097.0,10.3389/fmicb.2019.00045,2019,"Taxon Sampling, Alignment and Phylogenomic Analyses",9,Sequence Matrix,,not_curated,SequenceMatrix,"7 (Katoh and Standley, 2013) and concatenated using Sequence Matrix v 100.0 (Vaidya et al., 2011)"
comm,8287656,34290675.0,10.3389/fmicb.2021.583129,2021,Phylogenetic Analysis,7,SequenceMatrix,,software,SequenceMatrix,"We first aligned individual mitochondrial genes using MAFFT v7.037 software (Katoh et al., 2019), and then concatenated them into a combined mitochondrial gene dataset using SequenceMatrix v1.7.8 (Vaidya et al., 2011)"
comm,7318869,32636830.0,10.3389/fmicb.2020.01382,2020,Phylogenetic Analysis,8,SequenceMatrix,,software,SequenceMatrix,"We used MAFFT v7.037 software (Katoh et al., 2017) to align individual mitochondrial genes and then used SequenceMatrix v1.7.8 (Vaidya et al., 2011) to concatenate these alignments into a combined mitochondrial gene set"
comm,6598499,31293543.0,10.3389/fmicb.2019.01395,2019,Genetic Identity and Phylogeny,13,sequenceMatrix,,not_curated,SequenceMatrix,The sequences for the different loci were concatenated in sequenceMatrix (1.8)
comm,5090004,27853450.0,10.3389/fmicb.2016.01657,2016,Phylogenetic analysis,8,SequenceMatrix,,software,SequenceMatrix,"The sequences for the 16S rRNA, gyrB, rpoB, and trpB (Supplementary Table S1) were concatenated along with those from selected reference strains using SequenceMatrix software (Vaidya et al., 2010)"
comm,8193148,34122362.0,10.3389/fmicb.2021.646567,2021,Phylogenetic Analysis,6,SequenceMatrix,,software,SequenceMatrix,"Then, these alignments were concatenated in SequenceMatrix v1.7.8 (Vaidya et al., 2011)"
comm,5413554,28515737.0,10.3389/fpls.2017.00715,2017,Construction of Phylogenetic Trees,11,SequenceMatrix,1.8,software,SequenceMatrix,"After removing all gaps and ambiguous sites, the alignments of the 67 genes were concatenated using SequenceMatrix 1.8 (Vaidya et al., 2011)"
comm,8072514,33912209.0,10.3389/fpls.2021.642598,2021,Phylogenetic Analyses,13,SequenceMatrix,,software,SequenceMatrix,"All genes belonging to the same genome were concatenated with SequenceMatrix v.1.8 (Vaidya et al., 2011), resulting in an 83-gene plastid matrix, a 44-gene mitochondrial matrix and a 10-gene nuclear matrix"
